statement,depression_level
"I feel like we are forgotten by the rest of the country.",2  
"I feel like our village will never develop and we will remain poor forever.",3  
"I enjoy working with my hands and growing food for my family.",0  
"The water supply in our village is irregular, making life hard.",1  
"I feel helpless when my family falls sick and I can't do anything.",2  
"I feel like no one understands the struggles we go through every day.",3
"I feel proud when I see my parents happy because of my achievements.",0
"Even though I work hard, I feel like I am not progressing in life.",1
"The competition for government jobs makes me feel anxious and stressed.",2
"I feel like I am a burden on my family because I am unemployed.",3
"I find peace in lighting a diya at my home temple every evening.",0
"Balancing work and family responsibilities is exhausting but fulfilling.",1
"Even after working overtime, I struggle to make ends meet.",2
"I don’t see a future for myself, everything feels pointless.",3
"Spending time with my family during festivals brings me joy.",0
"I have faith that good times will come despite my struggles.",1
"I constantly worry about my children's education and future.",2
"I feel like my existence has no purpose anymore.",3
"I love listening to old Bollywood songs; they lift my mood.",0
"The pressure of marriage from society stresses me out.",1
"I feel exhausted managing household chores and my job.",2
"I feel completely hopeless about my career and life.",3
"Going for a morning walk in the park refreshes my mind.",0
"I remind myself that tough times don’t last forever.",1
"My financial struggles have made me doubt my self-worth.",2
"I feel like my life is just a cycle of suffering.",3
"I feel relaxed when I visit a temple or gurudwara.",0
"I try to stay strong despite constant failures in job interviews.",1
"I feel guilty that I can’t support my family financially.",2
"I don’t feel like waking up and facing another day.",3
"Preparing traditional dishes with my mother brings me happiness.",0
"I believe that hard work will eventually pay off.",1
"I feel suffocated by societal expectations of success and marriage.",2
"Nothing excites me anymore, not even my favorite food.",3
"Watching cricket with my friends brings back childhood memories.",0
"The fear of failing my exams keeps me awake at night.",1
"I feel like I am always falling behind my peers.",2
"I feel like disappearing so I don’t have to deal with life.",3
"Attending weddings and celebrations makes me feel connected to my roots.",0
"Despite my struggles, I believe that my luck will change.",1
"I feel like my parents are disappointed in me.",2
"I feel like I have lost control over my life.",3
"Reading books at night helps me escape my worries.",0
"I remind myself that my problems are temporary.",1
"My workload leaves me mentally and physically exhausted.",2
"I feel like a complete failure in everything I do.",3
"I feel peace when I sit by the river and watch the sunset.",0
"Even though life is tough, I try to keep smiling.",1
"I constantly feel pressure to earn more and succeed.",2
"Every day feels like an endless struggle to survive.",3
"I enjoy visiting my village and spending time with my grandparents.",0
"I try to stay positive, even when my problems feel overwhelming.",1
"I feel drained trying to prove myself to society.",2
"I feel like I don’t belong anywhere anymore.",3
"Celebrating Diwali with family fills me with happiness.",0
"Even though I fail, I tell myself to keep trying.",1
"I feel like I am just existing, not really living.",2
"I don’t think I will ever be happy again.",3
"Having chai with my neighbors in the evening is comforting.",0
"I try to focus on the small joys in life.",1
"I feel like I have lost my identity.",2
"I feel like crying all the time for no reason.",3  
"I feel proud when I score well in my exams.",0  
"The pressure of board exams keeps me up at night.",1  
"I study for hours, yet I feel I am not good enough.",2  
"I feel like a failure because I couldn't clear the IIT entrance.",3  
"I enjoy reading and learning new things.",0  
"My parents' expectations from my studies stress me out.",1  
"I feel ashamed that I failed an important exam.",2  
"No matter how much I study, I feel like I will never succeed.",3  
"I love discussing new ideas with my friends at college.",0  
"The competition for government exams makes me anxious.",1  
"I feel stuck in a cycle of studying and failing.",2  
"I feel like quitting everything because my studies are not going well.",3   
"I feel blessed to have supportive parents.",0  
"My relatives constantly compare me to others, which stresses me.",1  
"I feel like I have let my family down by not getting a good job.",2  
"I feel like a burden on my parents because I am unemployed.",3  
"Spending time with my siblings makes me happy.",0  
"The pressure to get married is overwhelming.",1  
"I feel like my parents are disappointed in me.",2  
"I feel completely unwanted in my own family.",3  
"I love celebrating festivals with my family.",0  
"My family’s expectations make it hard for me to make my own choices.",1  
"I feel like I will never be good enough for my parents.",2  
"I feel like running away to escape my family's pressure.",3    
"I feel proud when I am able to manage my expenses well.",0  
"Managing daily expenses has become very stressful.",1  
"I work long hours, yet I am unable to save money.",2  
"I feel hopeless because I have no financial security.",3  
"I am grateful that I can afford to provide for my family.",0  
"I constantly worry about how I will pay my bills.",1  
"My financial situation makes me feel worthless.",2  
"I feel like I will never be able to escape poverty.",3  
"I enjoy budgeting and planning my expenses.",0  
"The rising cost of living adds to my stress every day.",1  
"I feel guilty for not earning enough to support my family.",2  
"I feel like giving up because my financial struggles never end.",3   
"I feel confident about my career progress.",0  
"The uncertainty of finding a good job worries me.",1  
"I feel like my career is going nowhere.",2  
"I feel like I have no future because of my failed career.",3  
"I enjoy working on projects that challenge me.",0  
"My workplace stress is affecting my mental health.",1  
"I feel stuck in a job that I don’t even like.",2  
"I feel like I am not capable of succeeding in my profession.",3  
"I love discussing my career goals with my mentors.",0  
"My job rejections have made me doubt myself.",1  
"I feel mentally exhausted from constantly trying to prove myself.",2  
"I feel like I have wasted my life chasing an unachievable dream.",3    
"I feel happy when I spend time with my loved ones.",0  
"The pressure to get married makes me anxious.",1  
"I feel like I will never find a partner who understands me.",2  
"I feel like no one truly loves me.",3  
"I enjoy having deep conversations with my friends.",0  
"My relationship struggles make me feel emotionally drained.",1  
"I feel like I am always the one putting effort into my relationships.",2  
"I feel like I will always be alone.",3  
"I love celebrating special moments with my partner.",0  
"I feel stressed about my future marriage prospects.",1  
"I feel like my partner does not care about me.",2  
"I feel like I am unworthy of love.",3    
"I feel grateful that people support me in my decisions.",0  
"I feel judged for choosing a career different from societal norms.",1  
"I feel like I am always being criticized by society.",2  
"I feel like I will never be accepted for who I am.",3  
"I love engaging in meaningful social conversations.",0  
"I feel like people don’t take mental health seriously in India.",1  
"I feel like I can’t express my true feelings to anyone.",2  
"I feel completely invisible in society.",3  
"I find comfort in talking to close friends about my struggles.",0  
"I feel ashamed to ask for help for my mental health issues.",1  
"I feel like people will never understand my pain.",2  
"I feel like my existence doesn’t matter to anyone.",3   
"I feel satisfied when I complete my daily tasks.",0  
"Juggling work and personal life is becoming difficult.",1  
"I feel like I am always exhausted from endless responsibilities.",2  
"I feel like my life has no meaning outside of work.",3  
"I love spending quality time with my family after work.",0  
"The pressure to constantly perform well at work is overwhelming.",1  
"I feel like no matter how much I do, it's never enough.",2  
"I feel like work is the only thing keeping me going.",3  
"I feel at peace when I disconnect from work on weekends.",0  
"My responsibilities feel like a heavy burden on my shoulders.",1  
"I feel like I am drowning in obligations.",2  
"I feel like I have lost myself in my daily struggles.",3
"I enjoy planting flowers in my garden during the weekend.",0
"I feel tired after work but still manage to take care of my family.",1
"I feel like my hard work is not appreciated by anyone.",2
"I feel like I have lost all motivation to do anything.",3
"I love waking up early to watch the sunrise.",0
"I try to stay strong despite facing many difficulties.",1
"I feel like my dreams are slowly slipping away from me.",2
"I feel like life has no meaning anymore.",3
"I enjoy spending time cooking new recipes for my loved ones.",0
"I worry about how I will handle my responsibilities in the future.",1
"I feel like I am not good enough for my job or my family.",2
"I feel like giving up on everything I once cared about.",3
"I find peace in reading spiritual books before bed.",0
"I sometimes feel stressed about how quickly life is changing.",1
"I feel like I will never achieve the goals I set for myself.",2
"I feel like my life is stuck in an endless cycle of pain.",3
"I enjoy visiting the market and meeting familiar faces.",0
"I feel anxious about how I will pay my children’s school fees.",1
"I feel like my efforts are meaningless because nothing changes.",2
"I feel like I am disappearing from everyone’s life.",3
"I love spending quiet evenings with my family.",0
"I feel stressed when my plans don’t go as expected.",1
"I feel like I am failing as both a parent and a person.",2
"I feel like I have nothing left to look forward to.",3
"I enjoy going for evening walks in the park.",0
"I feel stressed when I have too many tasks to finish in a day.",1
"I feel like my efforts at work are going unnoticed.",2
"I feel like there is no point in trying anymore.",3
"I love helping my neighbors when they need me.",0
"I feel nervous about how my future will turn out.",1
"I feel like I am slowly losing my sense of purpose.",2
"I feel like every day is just a struggle to survive.",3
"I find happiness in watching my children play.",0
"I sometimes feel anxious about meeting new people.",1
"I feel like I am not capable of achieving anything.",2
"I feel like my existence doesn’t matter to anyone.",3
"I enjoy celebrating birthdays with my friends and family.",0
"I feel stressed about balancing work and home life.",1
"I feel like I am constantly letting people down.",2
"I feel like I am stuck in a dark place with no way out.",3
"I enjoy learning new skills and hobbies in my free time.",0
"I sometimes worry that I am not doing enough for my family.",1
"I feel like I am falling behind while everyone else moves forward.",2
"I feel like I will never experience happiness again.",3
"I feel peaceful when I visit my hometown.",0
"I feel pressured to live up to others’ expectations.",1
"I feel like my goals are impossible to reach.",2
"I feel like nothing will ever change in my life.",3
"I enjoy listening to music to relax my mind.",0
"I feel anxious when I think about my responsibilities.",1
"I feel like no matter what I do, I am not good enough.",2
"I feel like I am drowning in my own thoughts.",3
"I love sharing meals with my family.",0
"I feel stressed when unexpected bills arrive.",1
"I feel like my hard work is always wasted.",2
"I feel like I am invisible to everyone around me.",3
"I enjoy visiting temples and praying for peace.",0
"I feel nervous about my upcoming exams.",1
"I feel like my failures define who I am.",2
"I feel like there is no reason to wake up anymore.",3
"I love taking photographs of nature.",0
"I feel stressed when I can’t meet deadlines.",1
"I feel like my dreams are slowly fading away.",2
"I feel like I am just a burden to everyone.",3
"I enjoy talking to my grandparents about old stories.",0
"I feel worried about my family’s financial situation.",1
"I feel like I am constantly judged by others.",2
"I feel like my life has no value.",3
"I enjoy reading books before going to bed.",0
"I feel stressed when I have too many commitments at once.",1
"I feel like I will never reach my full potential.",2
"I feel like I am trapped in my own mind.",3
"I enjoy going on trips to new places.",0
"I feel anxious when I have to make important decisions.",1
"I feel like I am not living the life I wanted.",2
"I feel like I am slowly breaking from the inside.",3
"I enjoy cooking meals for my loved ones.",0
"I feel stressed when people expect too much from me.",1
"I feel like my past mistakes are holding me back.",2
"I feel like there is no hope left for me.",3
"I enjoy spending quiet mornings drinking tea.",0
"I feel worried when I think about my future health.",1
"I feel like I am losing control over my own life.",2
"I feel like I am slowly fading away from existence.",3
"I enjoy drinking hot chai on a rainy day.",0
"I feel stressed when unexpected problems come up.",1
"I feel like my life is not moving in the direction I want.",2
"I feel like I am trapped in a life I didn’t choose.",3
"I love planting vegetables in my backyard.",0
"I feel anxious when I have to speak in public.",1
"I feel like I am slowly losing my confidence.",2
"I feel like I am completely useless.",3
"I enjoy laughing with my friends over old memories.",0
"I feel nervous about my future job prospects.",1
"I feel like my efforts are never recognized.",2
"I feel like nothing brings me joy anymore.",3
"I enjoy decorating my home during festivals.",0
"I feel stressed when I have too many responsibilities.",1
"I feel like I can never make the right decisions.",2
"I feel like I am living in constant darkness.",3
"I enjoy walking barefoot on the grass in the morning.",0
"I feel anxious about being compared to others.",1
"I feel like I am losing touch with who I am.",2
"I feel like every day is the same and nothing changes.",3
"I enjoy going on bike rides in the evening.",0
"I feel stressed when I think about my financial future.",1
"I feel like I am not capable of handling life.",2
"I feel like I am falling apart from the inside.",3
"I enjoy sitting under a tree and reading.",0
"I feel anxious when I don’t meet people’s expectations.",1
"I feel like my best days are behind me.",2
"I feel like I am disappearing from my own life.",3
"I enjoy playing with my pet every evening.",0
"I feel worried about my family’s well-being.",1
"I feel like my work is meaningless.",2
"I feel like I am completely broken.",3
"I enjoy painting whenever I have free time.",0
"I feel stressed when people criticize my choices.",1
"I feel like I can’t trust myself anymore.",2
"I feel like I have no reason to live.",3
"I enjoy listening to birds chirping in the morning.",0
"I feel anxious when I am running late.",1
"I feel like my failures define me forever.",2
"I feel like my life is just an endless loop of pain.",3
"I enjoy helping children with their studies.",0
"I feel stressed when I am not able to meet deadlines.",1
"I feel like I am wasting my potential.",2
"I feel like I am beyond saving.",3
"I enjoy watching the sunset at the beach.",0
"I feel worried about not achieving my goals.",1
"I feel like I am slowly losing everyone I care about.",2
"I feel like there is no light at the end of the tunnel.",3
"I enjoy writing stories and poems.",0
"I feel anxious when I think about aging.",1
"I feel like my dreams are too far to reach.",2
"I feel like I have no future worth living for.",3
"I enjoy making handmade crafts.",0
"I feel stressed when I am in a crowded place.",1
"I feel like I am a constant disappointment.",2
"I feel like my life has already ended inside me.",3
"I enjoy going for nature hikes on weekends.",0
"I feel nervous when people expect too much from me.",1
"I feel like I have no control over my destiny.",2
"I feel like I am drowning in sadness.",3
"I enjoy spending my mornings watering plants.",0
"I feel stressed when I have too many deadlines at work.",1
"I feel like I am always falling short of expectations.",2
"I feel like nothing will ever make me happy again.",3
"I love watching the stars at night.",0
"I feel nervous when I have to face large gatherings.",1
"I feel like my failures will haunt me forever.",2
"I feel like I am stuck in a dark tunnel with no exit.",3
"I enjoy visiting new cafes and trying different foods.",0
"I feel anxious when I cannot complete my daily tasks.",1
"I feel like I am not smart enough to achieve my goals.",2
"I feel like I am drowning in constant sadness.",3
"I enjoy taking photographs during my travels.",0
"I feel stressed about how fast time is passing.",1
"I feel like no one understands what I’m going through.",2
"I feel like my existence is meaningless.",3
"I love going to fairs and festivals in my town.",0
"I feel worried about the health of my loved ones.",1
"I feel like all my dreams have been destroyed.",2
"I feel like there is no point in living anymore.",3
"I enjoy writing letters to my old friends.",0
"I feel anxious when I’m running out of money.",1
"I feel like my work never leads to anything good.",2
"I feel like I am living without any purpose.",3
"I enjoy baking cakes for my family.",0
"I feel stressed when my schedule becomes too tight.",1
"I feel like I am not capable of making big decisions.",2
"I feel like my life is full of endless pain.",3
"I love hearing stories from my grandparents.",0
"I feel nervous when I’m judged by others.",1
"I feel like my efforts are completely wasted.",2
"I feel like I am losing the will to live.",3
"I enjoy swimming on hot summer days.",0
"I feel anxious when people expect me to be perfect.",1
"I feel like my past is stopping me from moving forward.",2
"I feel like my life has already ended emotionally.",3
"I enjoy planting trees during the monsoon season.",0
"I feel stressed when my work is not appreciated.",1
"I feel like I’m stuck in a place I don’t belong.",2
"I feel like I will never escape my problems.",3
"I enjoy spending hours painting in silence.",0
"I feel nervous when I think about the future.",1
"I feel like my relationships are falling apart.",2
"I feel like nothing matters anymore.",3
"I enjoy visiting historical places with friends.",0
"I feel stressed when I forget important tasks.",1
"I feel like I can never fix the mistakes I’ve made.",2
"I feel like I’m breaking apart day by day.",3
"I enjoy doing yoga early in the morning.",0
"I feel anxious when I am late for important meetings.",1
"I feel like I have lost control over my thoughts.",2
"I feel like I am fading away from life itself.",3
"I enjoy organizing my home and keeping it tidy.",0
"I feel worried about losing my job.",1
"I feel like I am unworthy of any success.",2
"I feel like I am slowly disappearing from everyone’s memory.",3
"I love feeding stray animals in my neighborhood.",0
"I feel stressed when I can’t complete my work on time.",1
"I feel like my future is hopeless.",2
"I feel like I am living only because I have to.",3
"I enjoy visiting my relatives during holidays.",0
"I feel anxious about making big life decisions.",1
"I feel like my dreams have no chance of coming true.",2
"I feel like I’m carrying an unbearable weight on my heart.",3
"I enjoy watching motivational talks online.",0
"I feel stressed when my savings are low.",1
"I feel like my failures are permanent.",2
"I feel like I have no energy to live anymore.",3
"I love sketching portraits in my free time.",0
"I feel anxious when my plans get delayed.",1
"I feel like nothing I do will ever be enough.",2
"I feel like I am stuck in a nightmare I can’t escape.",3
"I enjoy singing songs while cooking.",0
"I feel stressed when I can’t meet people’s expectations.",1
"I feel like my life goals are slipping away.",2
"I feel like my heart is empty.",3
"I enjoy spending evenings watching the sunset.",0
"I feel nervous when I have to handle conflicts.",1
"I feel like my mind is always restless with negativity.",2
"I feel like I am just existing, not living.",3
"I love walking in nature trails during spring.",0
"I feel stressed when I think about the rising cost of living.",1
"I feel like I will never make my parents proud.",2
"I feel like my entire life has been a mistake.",3
"I enjoy reading inspirational books at night.",0
"I feel anxious about failing in my responsibilities.",1
"I feel like I have wasted all my years.",2
"I feel like I can’t handle this life anymore.",3
"I enjoy gardening with my neighbors on weekends.",0
"I feel stressed when people compare me to others.",1
"I feel like my life is going nowhere.",2
"I feel like I am on the verge of giving up.",3
"I love decorating my home with handmade crafts.",0
"I feel nervous about upcoming job interviews.",1
"I feel like I will never achieve anything meaningful.",2
"I feel like my happiness is gone forever.",3
"I enjoy celebrating cultural events with my community.",0
"I feel stressed when work piles up unexpectedly.",1
"I feel like my self-worth is disappearing.",2
"I feel like my entire life is falling apart.",3
"I enjoy playing musical instruments when I’m free.",0
"I feel anxious about not being financially stable.",1
"I feel like my best efforts are still not enough.",2
"I feel like I have no reason to smile anymore.",3
"I enjoy traveling to peaceful hill stations.",0
"I feel stressed when people misunderstand me.",1
"I feel like my failures define me completely.",2
"I feel like there’s nothing left for me in this world.",3
"I enjoy watching children play in the park.",0
"I feel nervous about how I’ll manage my future.",1
"I feel like my dreams are already dead.",2
"I feel like I have lost the fight with life.",3
"I enjoy working on home improvement projects.",0
"I feel stressed when I am not able to save money.",1
"I feel like I am not worthy of anyone’s love.",2
"I feel like every breath is a struggle.",3
"I enjoy taking part in community volunteering.",0
"I feel anxious when I have to face criticism.",1
"I feel like my problems are too big to solve.",2
"I feel like my life is just an endless storm.",3
"I enjoy peaceful early morning walks.",0
"I feel stressed when people expect perfection from me.",1
"I feel like I am losing my inner strength.",2
"I feel like I am completely shattered inside.",3
"I enjoy making rangoli during festivals.",0
"I feel anxious about my career path.",1
"I feel like I am stuck in the past.",2
"I feel like I can’t find a reason to keep going.",3
"I feel peaceful when I sit with my parents and have chai.",0
"I feel stressed when relatives keep asking about my marriage plans.",1
"I feel like I will never get a government job no matter how hard I study.",2
"I feel like nothing good will ever happen in my life again.",3
"I enjoy going to the temple early in the morning.",0
"I feel anxious when exam results are about to be announced.",1
"I feel like I am not capable of supporting my family.",2
"I feel like I am just a burden to everyone around me.",3
"I love eating hot pakoras during the rainy season.",0
"I feel stressed when the monthly budget doesn’t balance.",1
"I feel like I am falling behind my friends in life.",2
"I feel like I am slowly losing interest in everything.",3
"I enjoy helping my mother in the kitchen during festivals.",0
"I feel nervous before giving a job interview.",1
"I feel like all my dreams have been crushed by reality.",2
"I feel like I am stuck in a life with no way forward.",3
"I enjoy listening to old Bollywood songs with my father.",0
"I feel stressed when I cannot pay my EMIs on time.",1
"I feel like no one in my family understands my struggles.",2
"I feel like I am completely alone in this world.",3
"I enjoy lighting diyas in the evening during Diwali.",0
"I feel anxious when people compare me to my cousins.",1
"I feel like I will never make my parents proud.",2
"I feel like I have lost my place in my own home.",3
"I enjoy travelling by train and watching fields pass by.",0
"I feel worried when the crop yield is low.",1
"I feel like the hard work in farming is not giving any returns.",2
"I feel like we are stuck in poverty forever.",3
"I enjoy celebrating Holi with my friends every year.",0
"I feel stressed when my mobile network doesn’t work during emergencies.",1
"I feel like I will never clear the UPSC exam.",2
"I feel like my entire career has been a waste.",3
"I enjoy talking with shopkeepers in the local bazaar.",0
"I feel anxious when prices of vegetables keep rising.",1
"I feel like I am not capable of handling my family’s needs.",2
"I feel like life in my village will never improve.",3
"I enjoy the smell of fresh rain on the soil.",0
"I feel stressed when my salary gets delayed.",1
